Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0010      -15771.2695  -15771.3021       0.0326   126.0
0.0020      -15771.2695  -15771.3020       0.0324   125.5
0.0030      -15771.2695  -15771.3018       0.0322   124.6
0.0040      -15771.2696  -15771.3015       0.0319   123.5
0.0050      -15771.2696  -15771.3011       0.0316   122.2
0.0060      -15771.2696  -15771.3008       0.0312   120.7
0.0070      -15771.2696  -15771.3004       0.0308   119.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0080      -15771.2696  -15771.2999       0.0304   117.5
0.0090      -15771.2696  -15771.2996       0.0300   116.0
0.0100      -15771.2696  -15771.2992       0.0296   114.6
